CIK,Wiki
813828,https://en.wikipedia.org/wiki/CBS_Corporation
814453,https://en.wikipedia.org/wiki/Newell_Brands
815097,https://en.wikipedia.org/wiki/Carnival_Corporation_%26_plc
815556,https://en.wikipedia.org/wiki/Fastenal
816284,https://en.wikipedia.org/wiki/Celgene
816761,https://en.wikipedia.org/wiki/Teradata
818479,https://en.wikipedia.org/wiki/Dentsply_Sirona
820027,https://en.wikipedia.org/wiki/Ameriprise_Financial
820313,https://en.wikipedia.org/wiki/Amphenol
821189,https://en.wikipedia.org/wiki/EOG_Resources
822416,https://en.wikipedia.org/wiki/PulteGroup
823768,https://en.wikipedia.org/wiki/Waste_Management_(corporation)
827052,https://en.wikipedia.org/wiki/Edison_International
827054,https://en.wikipedia.org/wiki/Microchip_Technology
829224,https://en.wikipedia.org/wiki/Starbucks
831001,https://en.wikipedia.org/wiki/Citigroup
831259,https://en.wikipedia.org/wiki/Freeport-McMoRan
832988,https://en.wikipedia.org/wiki/Signet_Jewelers
833444,https://en.wikipedia.org/wiki/Johnson_Controls
849399,https://en.wikipedia.org/wiki/NortonLifeLock
850209,https://en.wikipedia.org/wiki/Foot_Locker
851968,https://en.wikipedia.org/wiki/Mohawk_Industries
858470,https://en.wikipedia.org/wiki/Cabot_Oil_%26_Gas
858877,https://en.wikipedia.org/wiki/Cisco_Systems
859737,https://en.wikipedia.org/wiki/Hologic
860730,https://en.wikipedia.org/wiki/HCA_Healthcare
861878,https://en.wikipedia.org/wiki/Stericycle
865436,https://en.wikipedia.org/wiki/Whole_Foods_Market
865752,https://en.wikipedia.org/wiki/Monster_Beverage
866787,https://en.wikipedia.org/wiki/AutoZone
872589,https://en.wikipedia.org/wiki/Regeneron_Pharmaceuticals
874716,https://en.wikipedia.org/wiki/Idexx_Laboratories
874761,https://en.wikipedia.org/wiki/AES_Corporation
874766,https://en.wikipedia.org/wiki/The_Hartford
875045,https://en.wikipedia.org/wiki/Biogen
875159,https://en.wikipedia.org/wiki/Axa_XL
875320,https://en.wikipedia.org/wiki/Vertex_Pharmaceuticals
877890,https://en.wikipedia.org/wiki/Citrix_Systems
879101,https://en.wikipedia.org/wiki/Kimco_Realty
882095,https://en.wikipedia.org/wiki/Gilead_Sciences
882184,https://en.wikipedia.org/wiki/D._R._Horton
882835,https://en.wikipedia.org/wiki/Roper_Technologies
884629,https://en.wikipedia.org/wiki/Allergan
884887,https://en.wikipedia.org/wiki/Royal_Caribbean_Cruises
884905,https://en.wikipedia.org/wiki/Praxair
885639,https://en.wikipedia.org/wiki/Kohl%27s
885725,https://en.wikipedia.org/wiki/Boston_Scientific
886158,https://en.wikipedia.org/wiki/Bed_Bath_%26_Beyond
886982,https://en.wikipedia.org/wiki/Goldman_Sachs
891024,https://en.wikipedia.org/wiki/Patterson_Companies
895126,https://en.wikipedia.org/wiki/Chesapeake_Energy
895421,https://en.wikipedia.org/wiki/Morgan_Stanley
895648,https://en.wikipedia.org/wiki/GGP_Inc.
895930,https://en.wikipedia.org/wiki/Envision_Healthcare
896159,https://en.wikipedia.org/wiki/Chubb_Limited
896878,https://en.wikipedia.org/wiki/Intuit
898173,https://en.wikipedia.org/wiki/O%27Reilly_Auto_Parts
899051,https://en.wikipedia.org/wiki/Allstate
899689,https://en.wikipedia.org/wiki/Vornado_Realty_Trust
899866,https://en.wikipedia.org/wiki/Alexion_Pharmaceuticals
906107,https://en.wikipedia.org/wiki/Equity_Residential
908255,https://en.wikipedia.org/wiki/BorgWarner
909832,https://en.wikipedia.org/wiki/Costco
912242,https://en.wikipedia.org/wiki/Macerich
912595,https://en.wikipedia.org/wiki/Mid-America_Apartment_Communities
912615,https://en.wikipedia.org/wiki/Urban_Outfitters
912750,https://en.wikipedia.org/wiki/Newfield_Exploration
914208,https://en.wikipedia.org/wiki/Invesco
915389,https://en.wikipedia.org/wiki/Eastman_Chemical_Company
915912,https://en.wikipedia.org/wiki/AvalonBay_Communities
915913,https://en.wikipedia.org/wiki/Albemarle_Corporation
916076,https://en.wikipedia.org/wiki/Martin_Marietta_Inc.
916365,https://en.wikipedia.org/wiki/Tractor_Supply_Company
920148,https://en.wikipedia.org/wiki/LabCorp
920522,https://en.wikipedia.org/wiki/Essex_Property_Trust
920760,https://en.wikipedia.org/wiki/Lennar_Corporation
922224,https://en.wikipedia.org/wiki/PPL_Corporation
922864,https://en.wikipedia.org/wiki/Aimco
927066,https://en.wikipedia.org/wiki/DaVita_Inc.
927628,https://en.wikipedia.org/wiki/Capital_One
927653,https://en.wikipedia.org/wiki/McKesson_Corporation
935703,https://en.wikipedia.org/wiki/Dollar_Tree
936340,https://en.wikipedia.org/wiki/DTE_Energy
936468,https://en.wikipedia.org/wiki/Lockheed_Martin
940944,https://en.wikipedia.org/wiki/Darden_Restaurants
1000228,https://en.wikipedia.org/wiki/Henry_Schein
1000697,https://en.wikipedia.org/wiki/Waters_Corporation
1001039,https://en.wikipedia.org/wiki/The_Walt_Disney_Company
